model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.16373,0.107221,1.957557,1.518972,0.122616
rf#1,0.152954,0.111116,1.944834,2.036829,0.135841
lgbm_gbdt#2,0.143203,0.054571,2.104218,1.025924,0.09507
lgbm_dart#1,0.139598,0.063566,2.005449,1.282855,0.11483
pcr#2,0.093076,0.055357,1.747181,2.06662,0.058388
L-En,0.079255,0.124283,1.710143,2.200174,0.098327
ffn#1,0.078508,0.096562,1.55698,1.045898,0.121239
ridge#2,0.076531,0.151871,1.023864,2.185237,0.089763
lasso#1,0.048439,0.114418,1.787832,2.50849,0.08982
elasticnet#2,0.047475,0.113534,1.764191,2.432704,0.087011
pls#1,-0.073294,0.123905,1.217091,1.495748,0.118016
