model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,9,0.853302,1.992458,1.284798,0.666667
N-En,9,0.851259,1.993587,1.280995,0.666667
elasticnet#1,9,0.851259,1.993587,1.280995,0.666667
elasticnet#2,9,0.850589,1.993807,1.279846,0.666667
ffn#1,9,0.80155,1.841209,1.306017,0.666667
ffn#2,9,0.80155,1.841209,1.306017,0.666667
lasso#1,9,0.850589,1.993807,1.279846,0.666667
lasso#2,9,0.850589,1.993807,1.279846,0.666667
lgbm_dart#1,9,0.85314,1.992322,1.284641,0.666667
lgbm_dart#2,9,0.852051,1.993123,1.282486,0.666667
lgbm_gbdt#1,9,0.851506,1.992984,1.281755,0.666667
lgbm_gbdt#2,9,0.851603,1.993057,1.281855,0.666667
pcr#1,9,0.801457,1.841145,1.305912,0.666667
pcr#2,9,0.801457,1.841145,1.305912,0.666667
pls#1,9,0.801052,1.841401,1.305069,0.666667
pls#2,9,0.801052,1.841401,1.305069,0.666667
rf#1,9,0.846359,1.992636,1.274231,0.666667
rf#2,9,0.850504,1.993761,1.279747,0.666667
ridge#1,9,0.851259,1.993587,1.280995,0.666667
ridge#2,9,0.851259,1.993587,1.280995,0.666667
